Stations,Drones,Iteration,APCount,Distance,APDistance,FlightTime,APFlightTime
10,4,4,8,4365.525415699771,4454.580512782424,2.7762972903993552,2.6910975505477146
10,4,5,9,4554.718327041482,4359.941225403412,3.0137919491428677,3.0405383574118794
10,4,6,8,4309.6824555206285,4343.8876471568965,3.1298456669483863,2.3847769168094
10,4,7,9,4235.818299348977,4155.743531531096,2.6570114403769116,2.676245517175315
10,4,8,9,3315.8528720470663,3248.3101787047945,2.0747087053647215,2.475003271136046
10,4,9,7,4901.474590213198,4581.806871317369,2.8127600987278147,2.6551603727840307
10,4,10,9,4921.235929961656,4661.363942976655,3.4899823764457425,3.4899823764457425
10,5,1,8,4906.390594894661,3987.8457138105296,2.3709966201213364,2.3834804378549435
10,5,2,9,5072.8397960151415,4887.914091658237,2.223763349099313,2.33688723953218
10,5,3,9,4519.767524734484,4288.014413124118,2.6052941687079163,2.6052941687079163
10,5,4,8,5733.974338243338,5132.547115922909,2.5010497063027013,3.1586983301013887
10,5,5,10,4781.996395287608,4781.996395287608,2.119119842915045,2.119119842915045
10,5,6,8,4479.159904843704,3811.3864414419872,2.908107252920129,2.908107252920129
10,5,7,6,3989.178354098425,2563.6599530085705,1.6990257282384305,2.1236688793552485
10,5,8,4,3429.2908923699215,2102.378366313465,1.4483911046929028,1.2891403011501046
10,5,9,9,5335.98409744648,4847.2373581059965,2.225003788799739,2.8853575252868153
10,5,10,8,4927.504196467167,3959.4617566684865,2.1070723472500394,2.1070723472500394
10,6,1,10,5395.509735677174,5395.509735677174,2.4787430617836113,2.4787430617836113
10,6,2,7,6209.102670910863,4730.595773208592,2.419507818580066,2.5067847965751584
10,6,3,9,5038.186648790572,4661.213074740487,2.4642459164798245,2.3526137769231643
10,6,4,8,5512.944307023204,4231.1002063669075,2.6179420619724754,2.6179420619724754
10,6,5,8,4208.6329957921735,3876.2279476634417,2.6416238840875574,2.6416238840875574
10,6,6,9,5307.899362924117,4970.178326402973,2.5756156245296227,2.5756156245296227
10,6,7,8,5739.520944380431,4890.933164619757,2.7174396671174916,2.7174396671174916
10,6,8,8,4422.24608849933,3782.2429912738244,2.4377461540107728,2.358728084540821
10,6,9,10,5550.767959508852,5550.767959508852,2.6709436717143817,2.6709436717143817
10,6,10,8,4937.103914944095,4259.799570807894,2.5421735760364395,2.7222546976279576
10,7,1,9,5302.886455567896,5040.025731411134,2.4260372416854104,2.4260372416854104
10,7,2,9,3756.063608736369,3451.121428797674,1.593802269818779,1.7165430110715516
10,7,3,8,4741.049748828245,4411.745550107851,2.8873122868671275,2.8873122868671275
10,7,4,8,4688.944854949922,4454.377670124268,2.4031378781293102,2.4031378781293102
10,7,5,8,5679.478744457571,4568.508133843994,2.8021506396095313,2.8949418067423935
10,7,6,9,3981.182630707807,3937.507463629975,2.0071650638358327,2.0071650638358327
10,7,7,9,5420.338878644749,4860.903604309584,2.82103902985561,2.842805715459269
10,7,8,9,6602.4197244423995,5477.059960800948,2.741962597968059,2.791151244555694
10,7,9,10,5400.207597424593,5400.207597424593,2.4516010766057903,2.4516010766057903
10,7,10,8,5837.744941733612,4674.602352992747,2.64060434518566,2.64060434518566
10,8,1,6,4338.406775741675,4991.163973855809,2.5508799698250146,2.3036977491884465
10,8,2,10,4099.754851615453,4099.754851615453,2.3909310660189065,2.3909310660189065
10,8,3,9,5725.44593458103,4879.50225920707,2.701834979601231,2.701834979601231
10,8,4,8,4808.621885581019,6533.470250321567,2.8284943221316756,2.5813120992307605
10,8,5,8,4875.503258482628,6848.783696669215,2.777701410760633,2.4871887105235566
10,8,6,9,5528.301340015708,5385.739376065232,2.6663655665521966,2.6663655665521966
10,8,7,9,5183.0163495063425,4745.434990765769,2.3106325557845815,2.3106325557845815
10,8,8,8,5180.3381555989135,6269.028069889428,2.8834169795128775,2.68316015595353
10,8,9,8,4680.23476957075,5939.460853342659,2.132068443854986,2.11341654494693
10,8,10,9,4638.651489325142,4454.33817560153,2.3762604883466207,2.3762604883466207
10,9,1,9,4846.6870810944765,6609.4068429040835,2.618745289560216,2.0158706724145863
10,9,2,9,4780.011308451365,6820.054907551766,2.922031000243409,2.4272437754949574
10,9,3,10,5724.325416863064,5724.325416863064,2.9943213918341804,2.9943213918341804
10,9,4,7,4566.012724130009,5647.422811562751,2.3290286901957926,2.230359330575283
10,9,5,8,4941.78857467332,5483.714637127152,2.1036292376223775,1.9962937195063426
10,9,6,7,4930.331481155317,6252.7277566779385,2.6587259834381722,2.6546184874909886
10,9,7,8,5398.912011997064,6424.064033918863,2.5101272735199576,2.254576963412564
10,9,8,7,3288.4875024282924,3890.4185852670844,1.885477247620027,1.6037208107889216
10,9,9,8,5064.420519196421,5956.755318285097,2.5212271638942276,2.3168805597442255
10,9,10,8,6503.167714250275,8299.770182213895,2.7596324445851637,2.595577646616628
10,10,1,10,9315.357168969713,9315.357168969713,2.354927997000384,2.354927997000384
10,10,2,9,7362.752382535326,6869.959322519258,2.5429944922579604,2.5429944922579604
10,10,3,9,7011.41055297799,5855.588334814659,2.140411515117277,2.0409297821966677
10,10,4,9,8010.103863803607,6772.974121213931,2.626227585452154,2.626227585452154
10,10,5,8,7711.136128003735,7012.676699143091,2.6480892249336834,2.6480892249336834
10,10,6,9,11090.281198630382,9843.318087708492,2.6029903927811255,2.6029903927811255
10,10,7,8,7019.733634960117,5584.766447571209,2.0249312000370288,2.0249312000370288
10,10,8,9,7308.5663742604465,6532.9859464516985,2.22327212852498,2.22327212852498
10,10,9,7,9629.321581601385,6284.676915949098,2.3082462359702998,2.2228741327729042
10,10,10,9,6364.555709549717,5624.944325105156,1.9341783664803944,1.9341783664803944
15,1,1,12,3398.5091626645913,3321.7017615274585,6.2935354864159105,6.151299558384182
15,1,2,12,3454.9219144346735,3373.6603777773576,6.398003545249395,6.247519218106218
15,1,3,13,3813.2692062453407,3694.027441996737,7.061609641195076,6.8407915592532165
15,1,4,11,3113.005515489204,2784.065161290257,5.7648250286837115,5.155676224611588
15,1,5,13,3510.9017758941795,3451.2450251475566,6.501669955359592,6.3911944910139935
15,1,6,12,3283.3456067452184,3188.7246861865683,6.080269642120775,5.905045715160312
15,1,7,9,3418.310958468475,3180.116365854767,6.330205478645324,5.889104381212531
15,1,8,12,3066.997337688533,2860.0778457376005,5.6796246994232105,5.2964404550696305
15,1,9,11,3836.259309438942,3670.2749405088252,7.104183906368411,6.796805445386713
15,1,10,13,3595.8619782384003,3673.5354306839563,6.659003663404445,6.802843390155475
15,2,1,10,3999.4682213336523,3584.2074988183094,4.0215688607646145,3.442486020210574
15,2,2,11,3299.1163086525567,3246.7100319282717,3.360651784064679,3.3062437933247266
15,2,3,13,3904.487922505901,3809.865944316666,3.7203926692890024,3.599994084702393
15,2,4,11,3912.417117013707,3757.8911265594297,4.192261130691799,3.5156459838018077
15,2,5,12,3829.234861879791,3696.58415066664,3.6263063624572984,3.5124574916398834
15,2,6,13,3848.7890077588536,3527.7043186508204,3.5653990285802766,3.3197238876145727
15,2,7,10,3344.914549534905,3135.276920584529,3.1518464981206304,2.9788038526871494
15,2,8,11,3281.1223890256706,2897.437690896575,3.798040247417723,2.7069380801610987
15,2,9,13,3753.258017174011,3571.6615276353004,3.6301852878381973,3.38317181692894
15,2,10,13,4470.212867511233,4311.544127871604,5.11665738565762,4.859308711851154
15,3,1,9,4179.047379550263,3797.9574864888045,2.6678298417494806,2.4878817533129634
15,3,2,10,4553.4379020687475,3911.137609070417,3.2712548495011626,3.1575900233264043
15,3,3,13,5146.846860398633,4493.041775695869,3.6582504799017843,3.7165591032561824
15,3,4,12,4448.077666854864,4495.509363967403,3.3777327777835278,3.4696925141117987
15,3,5,13,5482.167157912203,5142.59585012008,3.505862196310964,3.2836093946880323
15,3,6,12,4563.5417100181485,4492.150312840235,3.2102444076012624,3.1800180720727598
15,3,7,13,4839.434579053928,4212.358660673563,3.4631681815490842,3.23214150691634
15,3,8,11,4719.1539647421305,3925.8507113531587,3.2671567341113574,3.2039595896780635
15,3,9,8,4100.711968919122,3598.8213600244944,2.6851850506409978,2.854300884886443
15,3,10,11,4911.605955382473,4743.298310443801,3.137079874685403,3.099201095444773
15,4,1,10,4784.132010656256,4255.030717693381,2.8815831236271396,2.9426741675091943
15,4,2,11,5070.704789408509,4949.085849199444,3.402010764426979,2.899652550842047
15,4,3,10,5021.188383347952,4923.540638353058,3.579620834802779,3.300894338282079
15,4,4,11,4927.713499086296,4436.9292635242855,3.0094986608681427,2.7975072163541594
15,4,5,15,5241.421803145193,5241.421803145193,2.9301523436767423,2.9301523436767423
15,4,6,13,5497.131370692998,5004.183372565029,3.76069588802482,3.76069588802482
15,4,7,11,4154.43417205956,4225.501247313906,3.3393691806211243,2.934230059396316
15,4,8,13,4452.894785848668,4270.335178541591,2.9261963101975463,2.9261963101975463
15,4,9,9,4631.268817933493,3892.7452319283157,2.819889690244668,2.9999213779004266
15,4,10,11,4611.448168209064,4424.614050424923,2.558119924895551,2.8058643001722183
15,5,1,12,6191.411578496893,5243.920735362167,3.2866090677077358,3.499385066023292
15,5,2,11,6819.973954787842,5410.551921584147,2.8256275665240347,3.0708398643037578
15,5,3,13,5820.882499737947,5582.880299256241,2.9901086465442797,2.9901086465442797
15,5,4,13,6257.898516320567,5684.77535114702,2.767847651695959,2.7649743462956873
15,5,5,14,5661.019281228192,5452.93620365672,3.0111672943453436,2.8116355462297578
15,5,6,12,4127.765990347389,3599.1740850324863,2.1512191314425273,2.0508432590916756
15,5,7,14,5517.482507229299,5150.755227354905,2.32216040546886,2.3927039720841194
15,5,8,11,5508.3094518483595,4604.262191298449,2.921458548180298,2.921458548180298
15,5,9,11,6516.192353190314,5311.038397371658,2.962381101563323,2.908209289304961
