Stations,Drones,Iteration,FlightTime,Distance,IL_AP_Count,IL_Distance,IL_FlightTime,IL_AlgorithmTime,IL_Validation,IL_Quality,IL_PredictedExtraHoverTime,ApproximationVoronoi_AP_Count,ApproximationVoronoi_Distance,ApproximationVoronoi_FlightTime,ApproximationVoronoi_AlgorithmTime,ApproximationVoronoi_Validation,ApproximationVoronoi_Quality,ApproximationVoronoi_PredictedExtraHoverTime,TrueVoronoi_AP_Count,TrueVoronoi_Distance,TrueVoronoi_FlightTime,TrueVoronoi_AlgorithmTime,TrueVoronoi_Validation,TrueVoronoi_Quality,TrueVoronoi_PredictedExtraHoverTime,ConstrainedKMeans_AP_Count,ConstrainedKMeans_Distance,ConstrainedKMeans_FlightTime,ConstrainedKMeans_AlgorithmTime,ConstrainedKMeans_Validation,ConstrainedKMeans_Quality,ConstrainedKMeans_PredictedExtraHoverTime,CustomDBSCAN_AP_Count,CustomDBSCAN_Distance,CustomDBSCAN_FlightTime,CustomDBSCAN_AlgorithmTime,CustomDBSCAN_Validation,CustomDBSCAN_Quality,CustomDBSCAN_PredictedExtraHoverTime,GeometricSetCover_AP_Count,GeometricSetCover_Distance,GeometricSetCover_FlightTime,GeometricSetCover_AlgorithmTime,GeometricSetCover_Validation,GeometricSetCover_Quality,GeometricSetCover_PredictedExtraHoverTime,GraphBased_AP_Count,GraphBased_Distance,GraphBased_FlightTime,GraphBased_AlgorithmTime,GraphBased_Validation,GraphBased_Quality,GraphBased_PredictedExtraHoverTime,GreedyCirclePacking_AP_Count,GreedyCirclePacking_Distance,GreedyCirclePacking_FlightTime,GreedyCirclePacking_AlgorithmTime,GreedyCirclePacking_Validation,GreedyCirclePacking_Quality,GreedyCirclePacking_PredictedExtraHoverTime
5,2,2,5.850148148148149,3024.08,5,3024.08,5.600148148148149,68643,1_1_1,0.9999999999999999,0,5,3024.08,5.600148148148149,273,1_1_1,0.9999999999999999,0,5,3024.08,5.600148148148149,201,1_1_1,0.9999999999999999,0,5,3024.08,5.600148148148149,366,1_1_1,0.9999999999999999,0,5,3024.08,5.600148148148149,202,1_1_1,0.9999999999999999,0,5,3024.08,5.600148148148149,134,1_1_1,0.9999999999999999,0,5,3024.08,5.600148148148149,132,1_1_1,0.9999999999999999,0,5,3024.08,5.600148148148149,193,1_1_1,0.9999999999999999,0
5,2,3,3.1047407407407412,1541.56,3,1455.52,2.745667964445844,77445,1_1_1,0.6841693945573933,3.0156334223062196,3,1441.34,2.6794437455960933,243,1_1_1,0.8614954727793156,0.6177358468767229,3,1455.52,2.745667964445844,155,1_1_1,0.6841693945573933,3.0156334223062196,5,1541.56,2.8547407407407412,643,1_1_1,0.9999999999999999,0,3,1455.52,2.745667964445844,175,1_1_1,0.6841693945573933,3.0156334223062196,3,1455.52,2.745667964445844,120,1_1_1,0.6841693945573933,3.0156334223062196,3,1455.52,2.745667964445844,215,1_1_1,0.6841693945573933,3.0156334223062196,3,1455.52,2.745667964445844,218,1_1_1,0.6841693945573933,3.0156334223062196
5,2,4,4.771000000000001,2441.34,4,2350.32,4.382291435326542,41641,1_1_1,0.8100168716103956,1.7908194529259034,4,2390.16,4.433356305299192,225,1_1_1,0.8994660474012918,0.4280449846181753,4,2350.32,4.382291435326542,144,1_1_1,0.8100168716103956,1.7908194529259034,4,2390.29,4.43359714647667,500,1_1_1,0.8994656506111299,0.42805101082239894,4,2350.32,4.382291435326542,133,1_1_1,0.8100168716103956,1.7908194529259034,4,2350.32,4.382291435326542,101,1_1_1,0.8100168716103956,1.7908194529259034,4,2350.32,4.382291435326542,161,1_1_1,0.8100168716103956,1.7908194529259034,4,2350.32,4.382291435326542,149,1_1_1,0.8100168716103956,1.7908194529259034
5,2,5,4.03137037037037,2041.94,5,2041.94,3.7813703703703703,42523,1_1_1,0.9999999999999999,0,5,2041.94,3.7813703703703703,262,1_1_1,0.9999999999999999,0,5,2041.94,3.7813703703703703,181,1_1_1,0.9999999999999999,0,5,2041.94,3.7813703703703703,385,1_1_1,0.9999999999999999,0,5,2041.94,3.7813703703703703,127,1_1_1,0.9999999999999999,0,5,2041.94,3.7813703703703703,123,1_1_1,0.9999999999999999,0,5,2041.94,3.7813703703703703,126,1_1_1,0.9999999999999999,0,5,2041.94,3.7813703703703703,182,1_1_1,0.9999999999999999,0
5,2,6,4.317611111111112,2196.51,5,2196.51,4.067611111111112,38322,1_1_1,0.9999999999999999,0,5,2196.51,4.067611111111112,267,1_1_1,0.9999999999999999,0,5,2196.51,4.067611111111112,176,1_1_1,0.9999999999999999,0,5,2196.51,4.067611111111112,333,1_1_1,0.9999999999999999,0,5,2196.51,4.067611111111112,121,1_1_1,0.9999999999999999,0,5,2196.51,4.067611111111112,117,1_1_1,0.9999999999999999,0,5,2196.51,4.067611111111112,118,1_1_1,0.9999999999999999,0,5,2196.51,4.067611111111112,181,1_1_1,0.9999999999999999,0
5,2,7,4.491685185185186,2290.51,5,2290.51,4.241685185185186,48859,1_1_1,0.9999999999999999,0,5,2290.51,4.241685185185186,277,1_1_1,0.9999999999999999,0,5,2290.51,4.241685185185186,215,1_1_1,0.9999999999999999,0,5,2290.51,4.241685185185186,361,1_1_1,0.9999999999999999,0,5,2290.51,4.241685185185186,196,1_1_1,0.9999999999999999,0,5,2290.51,4.241685185185186,149,1_1_1,0.9999999999999999,0,5,2290.51,4.241685185185186,123,1_1_1,0.9999999999999999,0,4,2297.7,4.3549999999999995,143,1_1_1,0.686471930576204,6
5,2,8,5.749944444444445,2969.97,5,2969.97,5.499944444444445,40536,1_1_1,0.9999999999999999,0,5,2969.97,5.499944444444445,302,1_1_1,0.9999999999999999,0,5,2969.97,5.499944444444445,174,1_1_1,0.9999999999999999,0,5,2969.97,5.499944444444445,33232,1_1_1,0.9999999999999999,0,5,2969.97,5.499944444444445,148,1_1_1,0.9999999999999999,0,5,2969.97,5.499944444444445,126,1_1_1,0.9999999999999999,0,5,2969.97,5.499944444444445,183,1_1_1,0.9999999999999999,0,5,2969.97,5.499944444444445,337,1_1_1,0.9999999999999999,0
5,2,9,3.7842222222222226,1908.48,4,1905.51,3.5469563692638393,59026,1_1_1,0.8556821413213499,1.094048822497028,4,1883.96,3.489402432452609,399,1_1_1,0.9253533854583141,0.035257058267630814,4,1905.51,3.5469563692638393,154,1_1_1,0.8556821413213499,1.094048822497028,5,1908.48,3.5342222222222226,1074,1_1_1,0.9999999999999999,0,4,1905.51,3.5469563692638393,172,1_1_1,0.8556821413213499,1.094048822497028,4,1905.51,3.5469563692638393,110,1_1_1,0.8556821413213499,1.094048822497028,4,1905.51,3.5469563692638393,211,1_1_1,0.8556821413213499,1.094048822497028,4,1905.51,3.5469563692638393,238,1_1_1,0.8556821413213499,1.094048822497028
5,2,10,3.977388888888889,2012.79,4,2003.71,3.710574074074074,50826,1_1_1,0.9431024406474423,0,4,1989.27,3.6838333333333333,253,1_1_1,0.9691842021299558,0,4,2003.71,3.710574074074074,156,1_1_1,0.9431024406474423,0,4,1990.4,3.6859259259259263,510,1_1_1,0.9691323745255703,0,4,2003.71,3.710574074074074,182,1_1_1,0.9431024406474423,0,4,2003.71,3.710574074074074,105,1_1_1,0.9431024406474423,0,4,2003.71,3.710574074074074,142,1_1_1,0.9431024406474423,0,4,2003.71,3.710574074074074,141,1_1_1,0.9431024406474423,0
5,3,1,5.2427222222222225,2696.07,5,2696.07,4.9927222222222225,50076,1_1_1,0.9999999999999999,0,5,2696.07,4.9927222222222225,265,1_1_1,0.9999999999999999,0,5,2696.07,4.9927222222222225,178,1_1_1,0.9999999999999999,0,5,2696.07,4.9927222222222225,359,1_1_1,0.9999999999999999,0,5,2696.07,4.9927222222222225,151,1_1_1,0.9999999999999999,0,5,2696.07,4.9927222222222225,122,1_1_1,0.9999999999999999,0,5,2696.07,4.9927222222222225,115,1_1_1,0.9999999999999999,0,5,2696.07,4.9927222222222225,175,1_1_1,0.9999999999999999,0
5,3,2,7.062425925925926,3678.71,5,3678.71,6.812425925925926,66123,1_1_1,0.9999999999999999,0,5,3678.71,6.812425925925926,263,1_1_1,0.9999999999999999,0,5,3678.71,6.812425925925926,222,1_1_1,0.9999999999999999,0,5,3678.71,6.812425925925926,1463,1_1_1,0.9999999999999999,0,5,3678.71,6.812425925925926,138,1_1_1,0.9999999999999999,0,5,3678.71,6.812425925925926,167,1_1_1,0.9999999999999999,0,5,3678.71,6.812425925925926,153,1_1_1,0.9999999999999999,0,5,3678.71,6.812425925925926,220,1_1_1,0.9999999999999999,0
5,3,3,6.34674074074074,3292.24,5,3292.24,6.09674074074074,60224,1_1_1,0.9999999999999999,0,5,3292.24,6.09674074074074,451,1_1_1,0.9999999999999999,0,5,3292.24,6.09674074074074,182,1_1_1,0.9999999999999999,0,5,3292.24,6.09674074074074,344,1_1_1,0.9999999999999999,0,5,3292.24,6.09674074074074,136,1_1_1,0.9999999999999999,0,5,3292.24,6.09674074074074,121,1_1_1,0.9999999999999999,0,5,3292.24,6.09674074074074,163,1_1_1,0.9999999999999999,0,5,3292.24,6.09674074074074,195,1_1_1,0.9999999999999999,0
